YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
408,533,HHTA1B          ,885.375,838.5,85.926,0,670.707,93.727,0.038,0.389,1.33,0.042
374,528,HHTA1B          ,868.375,833,94.907,1.389,676.947,91.244,0.041,0.392,1.34,0.041
356,509,HHTA1B          ,874.25,834.75,89.104,0.242,631.315,94.94,0.04,0.401,1.37,0.042
428,544,HHTA1B          ,873.75,835.625,91.635,0,629.546,88.868,0.043,0.404,1.35,0.046
395,515,HHTA1B          ,875.25,842.5,89.111,0,651.157,95.676,0.038,0.39,1.3,0.043
444,543,HHTA1B          ,867,829.625,99.01,0.165,641.429,97.537,0.044,0.394,1.4,0.046
413,524,HHTA1B          ,869.75,843,92.559,0,639.979,89.35,0.038,0.39,1.3,0.043
344,485,HDR09C          ,857,821.625,99.373,0.627,667.001,85.67,0.045,0.35,1.06,0.001
408,505,HHTA1B          ,867.75,835.75,91.111,0,676.84,86.397,0.045,0.389,1.33,0.043
360,488,HDR09C          ,866.625,841.125,92.366,0,670.424,97.719,0.045,0.33,0.99,0.001
314,454,HDR09C          ,851.5,817.375,83.333,16.667,682.655,95.529,0.045,0.328,1.01,0.001
443,560,HHTA1B          ,871.25,837.625,95.956,0,670.048,93.04,0.045,0.389,1.33,0.043
435,542,HHTA1B          ,871.625,824.75,96.958,0.127,640.938,97.472,0.045,0.389,1.36,0.043
385,492,HHTA1B          ,883.25,826.5,73.523,21.513,649.646,95.305,0.041,0.39,1.33,0.046
393,515,HHTA1B          ,867.5,834.75,94.885,0.256,641.494,95.432,0.03,0.401,1.4,0.044
404,515,HHTA1B          ,862.875,826,63.275,36.725,658.572,84.975,0.044,0.392,1.33,0.046
358,516,HHTA1B          ,871.25,837.5,85.556,0,676.318,98.155,0.045,0.396,1.3,0.043
382,514,HHTA1B          ,878.75,834.875,94.096,0.369,673.466,92.308,0.04,0.394,1.33,0.045
405,525,HHTA1B          ,863,833,97.665,2.335,673.071,90.348,0.044,0.392,1.33,0.046
398,521,HHTA1B          ,887.375,866.75,0,0,694.714,86.487,0.039,0.385,1.34,0.048
418,554,HHTA1B          ,882,853.5,50.811,0,691.691,93.478,0.04,0.394,1.33,0.045
410,539,HHTA1B          ,864.75,837.25,100,0,672.133,97.026,0.045,0.396,1.32,0.041
335,463,HDR09C          ,873.5,850.375,19.535,0,685.101,92.558,0.045,0.33,0.99,0.001
338,517,HHTA1B          ,862.5,800.125,86.222,13.778,690.753,68.584,0.047,0.385,1.32,0.045
388,517,HHTA1B          ,862.5,800.125,86.222,13.778,690.753,68.584,0.047,0.385,1.32,0.045
327,471,HDR09C          ,863.25,834.875,91.905,0,681.374,98.578,0.045,0.328,0.99,0.001
405,543,HHTA1B          ,863.375,829.875,91.743,8.257,679.432,89.908,0.038,0.396,1.33,0.042
383,499,HHTA1B          ,877.625,844,99.025,0.195,655.381,95.543,0.038,0.383,1.32,0.046
370,513,HHTA1B          ,863.5,825.375,88.785,11.215,691.473,70.094,0.043,0.407,1.35,0.041
390,520,HHTA1B          ,889.5,832.875,89.252,1.402,688.137,96.744,0.045,0.382,1.33,0.044
395,521,HHTA1B          ,866,822.875,97.183,1.408,693.782,90.187,0.045,0.391,1.35,0.042
400,530,HHTA1B          ,867.75,817.625,94.907,3.704,690.007,94.444,0.044,0.396,1.36,0.042
496,592,HHTA1B          ,869.375,846,95.149,0,678.738,80.297,0.04,0.378,1.31,0.043
421,559,HHTA1B          ,873.5,843,91.635,0,684.482,42.046,0.04,0.395,1.4,0.045
425,539,HHTA1B          ,867.25,840.625,98.996,0,649.456,87.078,0.044,0.39,1.35,0.045
413,513,HHTA1B          ,867.75,814.625,94.97,0.201,656.201,97.006,0.044,0.39,1.35,0.045
402,534,HHTA1B          ,883.125,843,66.797,31.25,690.042,91.829,0.033,0.386,1.32,0.043
385,497,HHTA1B          ,861.75,801.25,83.736,16.264,639.028,96.288,0.027,0.393,1.36,0.044
384,511,HHTA1B          ,868.625,831.375,94.298,0.219,625.281,90.414,0.027,0.393,1.36,0.044
408,537,HHTA1B          ,869.25,832.125,96.264,0.22,631.662,95.175,0.04,0.39,1.36,0.047
371,542,HHTA1B          ,867.125,836.625,95.122,0,678.102,97.264,0.041,0.39,1.35,0.046
455,569,HHTA1B          ,877.75,844.875,91.185,0,683.021,82.229,0.045,0.377,1.3,0.048
382,521,HHTA1B          ,884.375,838.875,72.256,0,676.662,87.273,0.045,0.395,1.35,0.042
414,532,HHTA1B          ,872.625,835.625,89.908,0,657.46,91.793,0.044,0.396,1.37,0.043
460,555,HHTA1B          ,895.25,851.25,89.219,0,677.401,54.074,0.04,0.378,1.31,0.043
407,530,HHTA1B          ,884.125,842.125,84.688,11.875,670.272,89.441,0.043,0.393,1.33,0.045
318,467,HDR09C          ,853.25,834,100,0,672.054,95.833,0.045,0.33,1.01,0.001
394,525,HHTA1B          ,864,829.25,82.879,17.121,687.299,94.574,0.045,0.384,1.32,0.046
384,521,HHTA1B          ,881.125,837.875,76.046,0,687.344,92.046,0.04,0.395,1.34,0.046
